attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref
MACRO_N_012,2010,2010-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 China Airlines meal,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,airline_meal_contract,2010 Formosa Chang signed China Airlines in flight meal cooperation for Taiwan lu rou fan circulation,high,Airline mobility and internationalization row,FC_2010_CHINA_AIRLINES,probable,Taiwan-side,Official timeline records a 2010 China Airlines in flight meal cooperation contract,魯肉飯,華航機上餐,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_013,2010,2010-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 Kanazawa entry,Kanazawa,Ishikawa,Japan,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,kanazawa_taiwan_brand_entry,2010 Formosa Chang signed with Japan Busshien and entered Kanazawa as a Taiwan brand,high,Japan corridor row,FC_2010_KANAZAWA,probable,Japan,Official timeline says Formosa Chang signed with Japan Busshien and entered Kanazawa as a Taiwan brand,魯肉飯,日本台灣品牌,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_014,2010,2010-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 Taipei top restaurant,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,taipei_50_award,2010 Formosa Chang received Taipei food restaurant recognition in the 50 gold delicacy award,high,Taiwan-side culinary recognition row,FC_2010_TAIPEI_50,probable,Taiwan-side,Official awards section records 2010 Taipei 50 gold delicacy recognition,魯肉飯,台北食尚,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_015,2011,2011-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 EASTPAK collaboration,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,lifestyle_brand_collaboration,2011 Formosa Chang collaborated with EASTPAK and Pizza Cut Five on a three party co branded bag,high,Lifestyle commodification row,FC_2011_EASTPAK,probable,Taiwan-side,Official timeline records a 2011 EASTPAK three party co branded bag,魯肉飯,生活品牌聯名,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_016,2011,2011-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 employment award,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,employment_contribution_award,2011 Formosa Chang received an economic ministry employment contribution award,high,Enterprise scale and employment row,FC_2011_EMPLOYMENT,probable,Taiwan-side,Official awards section records a 2011 employment contribution award,魯肉飯,台灣服務業,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_017,2011,2011-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 Taiwan quality restaurant,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,taiwan_quality_restaurant_award,2011 Formosa Chang food culture hall received Taiwan quality restaurant recognition,high,Restaurant quality recognition row,FC_2011_QUALITY_RESTAURANT,probable,Taiwan-side,Official awards section records a 2011 Taiwan quality restaurant award for the food culture hall,魯肉飯,台灣優質餐廳,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_018,2011,2011-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 cold chain,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,cold_chain_system,2011 Formosa Chang received E Asia award for Chinese fast food refrigerated chain system,high,Cold chain infrastructure row,FC_2011_COLD_CHAIN,probable,Taiwan-side,Official awards section records an E Asia award for refrigerated chain system,魯肉飯,冷藏鏈系統,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_019,2011,2011-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 service brand award,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,taiwan_service_brand_award,2011 Formosa Chang received Taiwan commercial service industry excellent brand recognition,high,Brand recognition row,FC_2011_SERVICE_BRAND,probable,Taiwan-side,Official awards section records a Taiwan commercial service industry excellent brand award,魯肉飯,台灣商業服務品牌,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_020,2012,2012-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 central kitchen expansion,New Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,central_kitchen_expansion,2012 Formosa Chang expanded central kitchen and moved headquarters to New Taipei industrial park,high,Infrastructure and headquarters row,FC_2012_CENTRAL_KITCHEN,probable,Taiwan-side,Official timeline records central kitchen expansion and headquarters relocation in 2012,魯肉飯,中央廚房擴建,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_021,2012,2012-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 government visit,New Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,local_government_enterprise_visit,2012 New Taipei mayor visited Formosa Chang headquarters during headquarters relocation period,high,Public governance and local enterprise row,FC_2012_MAYOR_VISIT,probable,Taiwan-side,Official timeline notes a New Taipei mayor headquarters visit in 2012,魯肉飯,新北企業總部,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_022,2013,2013-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 food culture hall award,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,food_culture_hall_award,2013 Formosa Chang food culture hall again received Taiwan quality restaurant recognition,high,Food culture hall institutionalization row,FC_2013_FOOD_CULTURE_HALL,probable,Taiwan-side,Official awards section records 2013 Taiwan quality restaurant recognition for the food culture hall,魯肉飯,美食文化館,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_023,2014,2014-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯 visual identity,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,visual_identity_redesign,2014 Formosa Chang completed a new generation corporate identity system,high,Brand aesthetics row,FC_2014_IDENTITY,probable,Taiwan-side,Official timeline records a new corporate identity system in 2014,魯肉飯,企業識別,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_024,2015,2015-01-01,2014-2020_pre_wanghong_platformization,鬍鬚張魯肉飯 logo merchandise,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,logo_merchandise,2015 Formosa Chang issued creative logo cup coasters linking lu rou fan brand to merchandise,high,Merchandising row,FC_2015_LOGO_COASTER,probable,Taiwan-side,Official timeline records creative logo cup coasters in 2015,魯肉飯,品牌周邊,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_025,2015,2015-01-01,2014-2020_pre_wanghong_platformization,鬍鬚張魯肉飯 Taiwan rice mark,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,taiwan_rice_mark,2015 Formosa Chang received selected Taiwan rice mark connecting lu rou fan chain to domestic rice sourcing,high,Ingredient origin and quality row,FC_2015_TAIWAN_RICE,probable,Taiwan-side,Official awards section records selected Taiwan rice mark in 2015,魯肉飯,嚴選台灣米,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_026,2015,2015-01-01,2014-2020_pre_wanghong_platformization,鬍鬚張魯肉飯 Taipei hygiene grade,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,hygiene_grade_certification,2015 Formosa Chang received Taipei restaurant hygiene management grade certification,high,Food safety governance row,FC_2015_HYGIENE,probable,Taiwan-side,Official awards section records 2015 Taipei hygiene grade certification,魯肉飯,餐飲衛生管理,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_027,2016,2016-01-01,2014-2020_pre_wanghong_platformization,鬍鬚張魯肉飯 Taoyuan hygiene grade,Taoyuan,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,taoyuan_hygiene_grade,2016 Formosa Chang received Taoyuan restaurant hygiene management grade certification,high,Regional food safety governance row,FC_2016_TAOYUAN_HYGIENE,probable,Taiwan-side,Official awards section records 2016 Taoyuan hygiene grade certification,魯肉飯,餐飲衛生管理,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_028,2017,2017-01-01,2014-2020_pre_wanghong_platformization,鬍鬚張魯肉飯 Taiwan service gold,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,taiwan_service_gold,2017 Formosa Chang received Taiwan service gold award,high,Service quality row,FC_2017_SERVICE_GOLD,probable,Taiwan-side,Official awards section records 2017 Taiwan service gold award,魯肉飯,台灣服務金牌,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_029,2017,2017-01-01,2014-2020_pre_wanghong_platformization,鬍鬚張魯肉飯 ISO2015 upgrade,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,iso2015_quality_upgrade,2017 Formosa Chang upgraded ISO quality certification to ISO9001 2015 version,high,Quality system modernization row,FC_2017_ISO2015,probable,Taiwan-side,Official awards section records ISO9001 2015 version upgrade in 2017,魯肉飯,品質系統,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_030,2020,2020-01-01,2014-2020_pre_wanghong_platformization,鬍鬚張魯肉飯 ISO2018 upgrade,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,iso2018_quality_upgrade,2020 Formosa Chang upgraded ISO quality certification to ISO9001 2018 version,high,Platform era quality system row,FC_2020_ISO2018,probable,Taiwan-side,Official awards section records ISO9001 2018 version upgrade in 2020,魯肉飯,品質系統,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_031,2021,2021-01-01,2021-2025_internet_wanghong_capital,鬍鬚張魯肉飯 Just Kitchen cloud kitchen,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,cloud_kitchen_cooperation,2021 Formosa Chang formally cooperated with Just Kitchen cloud kitchen,high,Post platform cloud kitchen row,FC_2021_JUST_KITCHEN,probable,Taiwan-side,Official timeline records formal Just Kitchen cloud kitchen cooperation in 2021,魯肉飯,雲端廚房,brand owned,Taiwan,https://shop.fmsc.com.tw/pages/about-us
MACRO_N_032,2001,2001-01-01,1988-2001_cross_strait_mobility,一茶一坐 Shanghai company,Shanghai,Shanghai,Yangtze River Delta,business_case,东方美食,https://www.easteat.com/case_detail.php?id=4097,joint_venture_central_kitchen,2001 Taiwan Yichayizuo and Want Want each held shares in Shanghai Yichayizuo and built a central kitchen,medium,Capital structure row from business case page,YCYZ_2001_JV_CENTRAL_KITCHEN,probable,Yangtze River Delta,The business case says Taiwan Yichayizuo and Want Want each held shares and established Shanghai Yichayizuo with central kitchen investment,茶餐飲,台灣開店經驗,taiwan_mainland_joint_venture,Taiwan and Want Want,https://www.easteat.com/case_detail.php?id=4097
MACRO_N_033,2002,2002-06-01,2002-2013_taiwan_capital_gateway,一茶一坐 Xintiandi flagship,Shanghai,Shanghai,Yangtze River Delta,business_case,东方美食,https://www.easteat.com/case_detail.php?id=4097,flagship_direct_store,2002 Yichayizuo opened mainland first direct flagship at Shanghai Xintiandi,medium,Non duplicate business case source for first store,YCYZ_2002_XINTIANDI_FLAGSHIP_EASTEAT,probable,Yangtze River Delta,The business case records the first mainland direct flagship at Shanghai Xintiandi in June 2002,茶餐飲,台灣休閒餐飲,taiwan_mainland_joint_venture,Taiwan and Want Want,https://www.easteat.com/case_detail.php?id=4097
MACRO_N_034,2004,2004-02-01,2002-2013_taiwan_capital_gateway,一茶一坐 local investment,Shanghai,Shanghai,Yangtze River Delta,business_case,东方美食,https://www.easteat.com/case_detail.php?id=4097,local_capital_investment,2004 Shanghai Sugar Tobacco and First Food investment companies invested in Yichayizuo,medium,Capital deepening row,YCYZ_2004_LOCAL_INVESTMENT,probable,Yangtze River Delta,The business case records a 2004 local investment round into Yichayizuo,茶餐飲,台灣休閒餐飲,hybrid_capital,Taiwan plus Shanghai investors,https://www.easteat.com/case_detail.php?id=4097
MACRO_N_035,2005,2005-11-01,2002-2013_taiwan_capital_gateway,一茶一坐 venture capital,Shanghai,Shanghai,Yangtze River Delta,business_case,东方美食,https://www.easteat.com/case_detail.php?id=4097,venture_capital_reorganization,2005 Ting Hsin IDGVC SIG and FMCG invested and reorganized Yichayizuo Cayman for expansion,medium,Venture capital row,YCYZ_2005_VC_REORG,probable,Yangtze River Delta,The business case records a 2005 Cayman reorganization and venture investment for expansion,茶餐飲,台灣休閒餐飲,venture_backed,Taiwan plus VC,https://www.easteat.com/case_detail.php?id=4097
MACRO_N_036,2006,2006-01-01,2002-2013_taiwan_capital_gateway,一茶一坐 Beijing entry,Beijing,Beijing,North China,business_case,东方美食,https://www.easteat.com/case_detail.php?id=4097,beijing_market_entry,2006 Yichayizuo entered the Beijing market after Shanghai expansion,medium,North China corridor row,YCYZ_2006_BEIJING_ENTRY,probable,North China,The business case says Yichayizuo entered Beijing in 2006,茶餐飲,台灣休閒餐飲,venture_backed,Taiwan plus VC,https://www.easteat.com/case_detail.php?id=4097
MACRO_N_037,2006,2006-01-01,2002-2013_taiwan_capital_gateway,一茶一坐 Japan entry,Tokyo,Japan,Japan,business_case,东方美食,https://www.easteat.com/case_detail.php?id=4097,japan_market_entry,2006 Yichayizuo entered Japan market as part of Taiwan style casual dining expansion,medium,Japan corridor row,YCYZ_2006_JAPAN_ENTRY,probable,Japan,The business case says Yichayizuo entered Japan in 2006,茶餐飲,台灣休閒餐飲,venture_backed,Taiwan plus VC,https://www.easteat.com/case_detail.php?id=4097
MACRO_N_038,2007,2007-01-01,2002-2013_taiwan_capital_gateway,一茶一坐 second VC round,Shanghai,Shanghai,Yangtze River Delta,business_case,东方美食,https://www.easteat.com/case_detail.php?id=4097,second_venture_round,2007 Yichayizuo completed a second venture financing round for planned US listing,medium,Capital event row,YCYZ_2007_SECOND_VC,probable,Yangtze River Delta,The business case records a second venture round in January 2007,茶餐飲,台灣休閒餐飲,venture_backed,Taiwan plus VC,https://www.easteat.com/case_detail.php?id=4097
MACRO_N_039,2006,2006-01-01,2002-2013_taiwan_capital_gateway,一茶一坐 37 stores,Shanghai,Shanghai,Yangtze River Delta,business_case,东方美食,https://www.easteat.com/case_detail.php?id=4097,chain_scale_37_stores,2006 Yichayizuo had 37 mainland stores including 21 Shanghai stores and 7 Beijing stores,medium,Scale row distinct from capital rows,YCYZ_2006_37_STORES,probable,Yangtze River Delta,The business case says within less than five years Yichayizuo had 37 stores with Shanghai and Beijing concentrations,茶餐飲,台灣休閒餐飲,venture_backed,Taiwan plus VC,https://www.easteat.com/case_detail.php?id=4097
MACRO_N_040,2005,2005-01-01,2002-2013_taiwan_capital_gateway,一茶一坐 central kitchen model,Shanghai,Shanghai,Yangtze River Delta,business_case,东方美食,https://www.easteat.com/case_detail.php?id=4097,central_kitchen_standardization,2005 Yichayizuo used central kitchen semi finished dishes and standardized store operations,medium,Operational standardization row,YCYZ_2005_CENTRAL_KITCHEN_MODEL,probable,Yangtze River Delta,The business case describes central kitchen processing storage distribution and simple heating in stores,茶餐飲,台灣休閒餐飲,central_kitchen,Taiwan plus Shanghai,https://www.easteat.com/case_detail.php?id=4097
MACRO_N_041,2010,2010-06-07,2002-2013_taiwan_capital_gateway,Shanghai Expo Taiwan catering,Shanghai,Shanghai,Yangtze River Delta,news_report,China Daily China News,https://www.chinadaily.com.cn/dfpd/expo2010/2010-06/07/content_9943283.htm,expo_taiwan_food_cluster,2010 Shanghai Expo hosted Taiwan catering from beef noodles to everyday food formats,high,Open source search result and article snippet support this Expo Taiwan food cluster row,EXPO_2010_TAIWAN_CATERING_CLUSTER,probable,Yangtze River Delta,China Daily China News report describes Taiwan food businesses at the Shanghai Expo,牛肉麵;滷肉飯;豆漿,台味,mixed_event_platform,Taiwan operators,https://www.chinadaily.com.cn/dfpd/expo2010/2010-06/07/content_9943283.htm
MACRO_N_042,2010,2010-06-07,2002-2013_taiwan_capital_gateway,永和豆浆 Expo Taiwan taste,Shanghai,Shanghai,Yangtze River Delta,news_report,China Daily China News,https://www.chinadaily.com.cn/dfpd/expo2010/2010-06/07/content_9943283.htm,expo_lu_rou_fan_menu,2010 Yonghe Soymilk Expo store offered strong Taiwan taste including lu rou fan and gongwan soup,high,Distinct brand and menu row from Expo source,EXPO_2010_YONGHE_LRF,probable,Yangtze River Delta,China Daily China News report says Yonghe Soymilk Expo shop offered Taiwan taste including lu rou fan,滷肉飯;貢丸湯,台味,taiwan_capital,Taiwan,https://www.chinadaily.com.cn/dfpd/expo2010/2010-06/07/content_9943283.htm
MACRO_N_043,2010,2010-06-07,2002-2013_taiwan_capital_gateway,老董牛肉面 Expo shop,Shanghai,Shanghai,Yangtze River Delta,news_report,China Daily China News,https://www.chinadaily.com.cn/dfpd/expo2010/2010-06/07/content_9943283.htm,expo_taiwan_beef_noodle,2010 Old Dong Beef Noodle Expo shop made Taiwan beef noodle visible in Shanghai event space,high,Expo Taiwan noodle comparator,EXPO_2010_OLD_DONG_BEEF_NOODLE,probable,Yangtze River Delta,China Daily China News report describes Old Dong Beef Noodle at Shanghai Expo,牛肉麵,台灣美食,taiwan_capital,Taiwan,https://www.chinadaily.com.cn/dfpd/expo2010/2010-06/07/content_9943283.htm
MACRO_N_044,2010,2010-04-30,2002-2013_taiwan_capital_gateway,Shanghai Expo Taiwan snack operators,Shanghai,Shanghai,Yangtze River Delta,newspaper_report,Wangbao,https://www.chinatimes.com/amp/newspapers/20100430000926-260301,expo_taiwan_snack_operators,2010 Shanghai Expo had multiple Taiwan snack and chain operators so visitors could eat familiar Taiwan taste,medium,Contemporaneous Taiwan newspaper source via search result,EXPO_2010_WANGBAO_TAIWAN_SNACKS,probable,Yangtze River Delta,Wangbao report says Taiwan snack and chain operators entered the Expo foodscape,台灣小吃,台味,mixed_event_platform,Taiwan operators,https://www.chinatimes.com/amp/newspapers/20100430000926-260301
MACRO_N_045,2010,2010-04-30,2002-2013_taiwan_capital_gateway,85度C Expo food operator,Shanghai,Shanghai,Yangtze River Delta,newspaper_report,Wangbao,https://www.chinatimes.com/amp/newspapers/20100430000926-260301,expo_chain_presence,2010 85C was listed among Taiwan chain food operators at Shanghai Expo,medium,Expo chain presence row,EXPO_2010_85C_WANGBAO,probable,Yangtze River Delta,Wangbao report lists 85C among Taiwan chain food operators at Expo,烘焙;咖啡,台灣連鎖,taiwan_capital,Taiwan,https://www.chinatimes.com/amp/newspapers/20100430000926-260301
MACRO_N_046,2007,2007-12-01,2002-2013_taiwan_capital_gateway,85度C Shanghai entry,Shanghai,Shanghai,Yangtze River Delta,annual_report,85C Gourmet Master,https://www.85cafe.com/file/original/yearreport/2010annual%20report.pdf,mainland_first_store,2007 85C entered mainland China with Shanghai operations according to company annual report,high,Company annual report source,85C_2007_SHANGHAI_ENTRY,probable,Yangtze River Delta,The 85C annual report records 2007 year end mainland entry and Shanghai operating entities,咖啡;烘焙,台灣連鎖,taiwan_capital,Taiwan,https://www.85cafe.com/file/original/yearreport/2010annual%20report.pdf
MACRO_N_047,2004,2004-07-01,2002-2013_taiwan_capital_gateway,85度C Taiwan first store,New Taipei,Taiwan,Taiwan-side,official_company_report,85C Gourmet Master,https://www.85cafe.com/file/original/yearreport/2010annual%20report.pdf,taiwan_first_store,2004 85C opened first Taiwan store in Yonghe before mainland expansion,high,Official company report source,85C_2004_TAIWAN_FIRST_STORE,probable,Taiwan-side,The 85C company report records the first Taiwan store before mainland expansion,咖啡;烘焙,台灣品牌,taiwan_capital,Taiwan,https://www.85cafe.com/file/original/yearreport/2010annual%20report.pdf
MACRO_N_048,2008,2008-09-01,2002-2013_taiwan_capital_gateway,85度C US entry,Irvine,California,North America,official_company_report,85C Gourmet Master,https://www.85cafe.com/file/original/yearreport/2010annual%20report.pdf,us_store_entry,2008 85C opened in the United States after Taiwan and mainland expansion,high,North America corridor row,85C_2008_US_ENTRY,probable,North America,The company report timeline records US opening after the Taiwan and Shanghai stages,咖啡;烘焙,台灣連鎖,taiwan_capital,Taiwan,https://www.85cafe.com/file/original/yearreport/2010annual%20report.pdf
